Tanggal,Daerah,Tingkat Vaksinasi
07/05/2021,Jakarta,22.70%
07/06/2021,Jakarta,22.73%
07/07/2021,Jakarta,22.76%
07/08/2021,Jakarta,22.80%
07/09/2021,Jakarta,22.83%
07/10/2021,Jakarta,22.84%
07/11/2021,Jakarta,22.85%
07/12/2021,Jakarta,22.89%
07/13/2021,Jakarta,22.93%
07/14/2021,Jakarta,22.97%
07/15/2021,Jakarta,23.00%
07/16/2021,Jakarta,23.04%
07/17/2021,Jakarta,23.09%
07/18/2021,Jakarta,23.11%
07/19/2021,Jakarta,23.28%
07/20/2021,Jakarta,23.28%
07/21/2021,Jakarta,23.75%
07/22/2021,Jakarta,24.37%
07/23/2021,Jakarta,25.12%
07/24/2021,Jakarta,25.47%
07/25/2021,Jakarta,25.66%
07/26/2021,Jakarta,26.62%
07/27/2021,Jakarta,27.64%
07/28/2021,Jakarta,28.92%
07/29/2021,Jakarta,30.31%
07/30/2021,Jakarta,31.79%
07/31/2021,Jakarta,32.37%
08/01/2021,Jakarta,32.71%
08/02/2021,Jakarta,34.13%
08/03/2021,Jakarta,35.51%
08/04/2021,Jakarta,37.03%
08/05/2021,Jakarta,37.07%