Tanggal,Vaksinasi,Persen Vaksinasi
07/05/2021,Lampung,3.35%
07/06/2021,Lampung,3.42%
07/07/2021,Lampung,3.49%
07/08/2021,Lampung,3.56%
07/09/2021,Lampung,3.60%
07/10/2021,Lampung,3.62%
07/11/2021,Lampung,3.62%
07/12/2021,Lampung,3.69%
07/13/2021,Lampung,3.78%
07/14/2021,Lampung,3.86%
07/15/2021,Lampung,3.95%
07/16/2021,Lampung,3.99%
07/17/2021,Lampung,4.01%
07/18/2021,Lampung,4.01%
07/19/2021,Lampung,4.06%
07/20/2021,Lampung,4.06%
07/21/2021,Lampung,4.12%
07/22/2021,Lampung,4.20%
07/23/2021,Lampung,4.24%
07/24/2021,Lampung,4.66%
07/25/2021,Lampung,4.68%
07/26/2021,Lampung,5.06%
07/27/2021,Lampung,5.29%
07/28/2021,Lampung,5.46%
07/29/2021,Lampung,5.57%
07/30/2021,Lampung,5.63%
07/31/2021,Lampung,5.68%
08/01/2021,Lampung,5.69%
08/02/2021,Lampung,5.83%
08/03/2021,Lampung,5.90%
08/04/2021,Lampung,6.00%
08/05/2021,Lampung,6.12%