Tanggal,Daerah,Persen Vaksinasi
07/05/2021,NTT,4.84%
07/06/2021,NTT,4.90%
07/07/2021,NTT,4.99%
07/08/2021,NTT,5.07%
07/09/2021,NTT,5.16%
07/10/2021,NTT,5.25%
07/11/2021,NTT,5.25%
07/12/2021,NTT,5.34%
07/13/2021,NTT,5.47%
07/14/2021,NTT,5.60%
07/15/2021,NTT,5.75%
07/16/2021,NTT,5.86%
07/17/2021,NTT,5.91%
07/18/2021,NTT,5.91%
07/19/2021,NTT,5.99%
07/20/2021,NTT,5.99%
07/21/2021,NTT,6.08%
07/22/2021,NTT,6.16%
07/23/2021,NTT,6.21%
07/24/2021,NTT,6.59%
07/25/2021,NTT,6.63%
07/26/2021,NTT,6.77%
07/27/2021,NTT,6.98%
07/28/2021,NTT,7.15%
07/29/2021,NTT,7.37%
07/30/2021,NTT,7.55%
07/31/2021,NTT,7.67%
08/01/2021,NTT,7.69%
08/02/2021,NTT,7.82%
08/03/2021,NTT,8.00%
08/04/2021,NTT,8.19%
08/05/2021,NTT,8.32%